name,lat,lng,status,npsn,bentuk,telp,alamat,kelurahan,kecamatan
SDN 237 KOPO ELOK KOTA BANDUNG,-6.957300000000,107.582700000000,Negeri,20245044,SD,,Jl. Buana No. 8,Cirangrang,Kec. Babakan Ciparay
SDN 238 CIGONDEWAH KOTA BANDUNG,-6.935800000000,107.561100000000,Negeri,20244839,SD,0226004067,Jl. Cigondewah Kaler Blok Jambangan,Cigondewah Kaler,Kec. Bandung Kulon
SDN 239 CIGONDEWAH KOTA BANDUNG,-6.938200000000,107.557300000000,Negeri,20244838,SD,089655145131,Jl. Baturengat Cigondewah,Cigondewah Kaler,Kec. Bandung Kulon
SDN 240 CIJERAH INDAH KOTA BANDUNG,-6.922800000000,107.565900000000,Negeri,20244846,SD,02220567659,Jl. Mekar Hurip No.18,Cijerah,Kec. Bandung Kulon
SDN 241 LEUWIANYAR KOTA BANDUNG,-6.942400000000,107.594400000000,Negeri,20244978,SD,,Jl. Leuwianyar,Situsaeur,Kec. Bojong Loa Kidul
SDN 242 MARGASARI KOTA BANDUNG,-6.956800000000,107.669000000000,Negeri,20245228,SD,,Jl. Rancasawo Komplek Pindad,Margasari,Kec. Buahbatu
SDN 243 CICABE KOTA BANDUNG,-6.900700000000,107.660200000000,Negeri,20245510,SD,0227236166,Jl. H. Abdul Hamid No. 66,Jatihandap,Kec. Mandalajati
SDN 244 GURUMINDA KOTA BANDUNG,-6.933684800000,107.677934400000,Negeri,20245585,SD,02270779428,Jl. Indra Jaya No. 7,Cisaranten Kulon,Kec. Arcamanik
SDN 245 SUMBERSARI INDAH KOTA BANDUNG,-6.937300000000,107.572700000000,Negeri,20245090,SD,0226044201,Jl. Sumber Makmur No. 1,Babakan,Kec. Babakan Ciparay
SDN 246 MARGACINTA KOTA BANDUNG,-6.955100000000,107.642100000000,Negeri,20246410,SD,0227538126,Jl. Marga Indah I Margacinta,Cijaura,Kec. Buahbatu
